Model,Accuracy,AUC
Random Forest,0.7786729857819905,0.8263389985373808
XGBoost,0.762085308056872,0.8186881537050527
SVM,0.7492890995260664,0.8140966111193583
Logistic Regression,0.7454976303317535,0.8395998108146363
Naive Bayes,0.7355450236966825,0.8160954856735816
Neural Net (MLP),0.7407582938388626,0.7790052578341039
